"TimeUTC","timestampInMs","requestPath","requestMethod","requestQueryString","responseStatusCode","requestId","requestUserAgent","level","environment","branch","vercelCache","type","function","host","deploymentDomain","deploymentId","durationMs","region","maxMemoryUsed","memorySize","message","projectId"
"2025-03-26 01:36:48",1742953008770,"sell-my-seats-oyvuc4i2r-rsgenacks-projects.vercel.app/","GET","",-1,"7ggff-1742953008505-226b28d543ff","vercel-og/1.0","error","production","","MISS","lambda","/vercel-adapter.js","sell-my-seats-oyvuc4i2r-rsgenacks-projects.vercel.app","sell-my-seats-oyvuc4i2r-rsgenacks-projects.vercel.app","dpl_8nP7cC3ga9E8btqwL8HiCZfDZJsD",-1,"iad1",-1,-1,"🔍 [vercel-adapter.js:1] Execution started
🚀 [vercel-adapter.js:2] Vercel adapter starting...
📁 [vercel-adapter.js:3] Current directory: /var/task
📦 [vercel-adapter.js:4] NODE_ENV: production
📦 [vercel-adapter.js:5] VERCEL_ENV: undefined
📦 [vercel-adapter.js:6] VERCEL_REGION: undefined
Failed to create debugging_logs directory: ReferenceError: Cannot access 'fs' before initialization
    at file:///var/task/vercel-adapter.js:15:3
    at ModuleJob.run (node:internal/modules/esm/module_job:271:25)
    at async onImport.tracePromise.__proto__ (node:internal/modules/esm/loader:578:26)
    at async d (/opt/rust/nodejs.js:16:18048)
🔎 [vercel-adapter.js:20] Loading filesystem module
ReferenceError: require is not defined in ES module scope, you can use import instead
This file is being treated as an ES module because it has a '.js' file extension and '/var/task/package.json' contains ""type"": ""module"". To treat it as a CommonJS script, rename it to use the '.cjs' file extension.
    at file:///var/task/vercel-adapter.js:107:12
    at ModuleJob.run (node:internal/modules/esm/module_job:271:25)
    at async onImport.tracePromise.__proto__ (node:internal/modules/esm/loader:578:26)
    at async d (/opt/rust/nodejs.js:16:18048)
Node.js process exited with exit status: 1. The logs above can help with debugging the issue.","prj_m5DxOCoSkMcwdJsG7CfFOpvMTqpR"
"2025-03-26 01:36:48",1742953008547,"sell-my-seats-oyvuc4i2r-rsgenacks-projects.vercel.app/","GET","",500,"7ggff-1742953008505-226b28d543ff","vercel-og/1.0","error","production","","MISS","lambda","/vercel-adapter.js","sell-my-seats-oyvuc4i2r-rsgenacks-projects.vercel.app","sell-my-seats-oyvuc4i2r-rsgenacks-projects.vercel.app","dpl_8nP7cC3ga9E8btqwL8HiCZfDZJsD",193,"iad1",75,1024,"","prj_m5DxOCoSkMcwdJsG7CfFOpvMTqpR"
"2025-03-26 01:31:32",1742952692225,"sell-my-seats-oyvuc4i2r-rsgenacks-projects.vercel.app/favicon.ico","GET","",-1,"vmxd7-1742952691994-28fed2eb4438","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36","error","production","","MISS","lambda","/vercel-adapter.js","sell-my-seats-oyvuc4i2r-rsgenacks-projects.vercel.app","sell-my-seats-oyvuc4i2r-rsgenacks-projects.vercel.app","dpl_8nP7cC3ga9E8btqwL8HiCZfDZJsD",-1,"iad1",-1,-1,"🔍 [vercel-adapter.js:1] Execution started
🚀 [vercel-adapter.js:2] Vercel adapter starting...
📁 [vercel-adapter.js:3] Current directory: /var/task
📦 [vercel-adapter.js:4] NODE_ENV: production
📦 [vercel-adapter.js:5] VERCEL_ENV: undefined
📦 [vercel-adapter.js:6] VERCEL_REGION: undefined
Failed to create debugging_logs directory: ReferenceError: Cannot access 'fs' before initialization
    at file:///var/task/vercel-adapter.js:15:3
    at ModuleJob.run (node:internal/modules/esm/module_job:271:25)
    at async onImport.tracePromise.__proto__ (node:internal/modules/esm/loader:578:26)
    at async d (/opt/rust/nodejs.js:16:18048)
🔎 [vercel-adapter.js:20] Loading filesystem module
ReferenceError: require is not defined in ES module scope, you can use import instead
This file is being treated as an ES module because it has a '.js' file extension and '/var/task/package.json' contains ""type"": ""module"". To treat it as a CommonJS script, rename it to use the '.cjs' file extension.
    at file:///var/task/vercel-adapter.js:107:12
    at ModuleJob.run (node:internal/modules/esm/module_job:271:25)
    at async onImport.tracePromise.__proto__ (node:internal/modules/esm/loader:578:26)
    at async d (/opt/rust/nodejs.js:16:18048)
Node.js process exited with exit status: 1. The logs above can help with debugging the issue.","prj_m5DxOCoSkMcwdJsG7CfFOpvMTqpR"
"2025-03-26 01:31:31",1742952691999,"sell-my-seats-oyvuc4i2r-rsgenacks-projects.vercel.app/favicon.ico","GET","",500,"vmxd7-1742952691994-28fed2eb4438","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36","error","production","","MISS","lambda","/vercel-adapter.js","sell-my-seats-oyvuc4i2r-rsgenacks-projects.vercel.app","sell-my-seats-oyvuc4i2r-rsgenacks-projects.vercel.app","dpl_8nP7cC3ga9E8btqwL8HiCZfDZJsD",207,"iad1",75,1024,"","prj_m5DxOCoSkMcwdJsG7CfFOpvMTqpR"
"2025-03-26 01:31:31",1742952691793,"sell-my-seats-oyvuc4i2r-rsgenacks-projects.vercel.app/","GET","",-1,"rrwh9-1742952691489-819ea7a46816","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36","error","production","","MISS","lambda","/vercel-adapter.js","sell-my-seats-oyvuc4i2r-rsgenacks-projects.vercel.app","sell-my-seats-oyvuc4i2r-rsgenacks-projects.vercel.app","dpl_8nP7cC3ga9E8btqwL8HiCZfDZJsD",-1,"iad1",-1,-1,"🔍 [vercel-adapter.js:1] Execution started
🚀 [vercel-adapter.js:2] Vercel adapter starting...
📁 [vercel-adapter.js:3] Current directory: /var/task
📦 [vercel-adapter.js:4] NODE_ENV: production
📦 [vercel-adapter.js:5] VERCEL_ENV: undefined
📦 [vercel-adapter.js:6] VERCEL_REGION: undefined
Failed to create debugging_logs directory: ReferenceError: Cannot access 'fs' before initialization
    at file:///var/task/vercel-adapter.js:15:3
    at ModuleJob.run (node:internal/modules/esm/module_job:271:25)
    at async onImport.tracePromise.__proto__ (node:internal/modules/esm/loader:578:26)
    at async d (/opt/rust/nodejs.js:16:18048)
🔎 [vercel-adapter.js:20] Loading filesystem module
ReferenceError: require is not defined in ES module scope, you can use import instead
This file is being treated as an ES module because it has a '.js' file extension and '/var/task/package.json' contains ""type"": ""module"". To treat it as a CommonJS script, rename it to use the '.cjs' file extension.
    at file:///var/task/vercel-adapter.js:107:12
    at ModuleJob.run (node:internal/modules/esm/module_job:271:25)
    at async onImport.tracePromise.__proto__ (node:internal/modules/esm/loader:578:26)
    at async d (/opt/rust/nodejs.js:16:18048)
Node.js process exited with exit status: 1. The logs above can help with debugging the issue.","prj_m5DxOCoSkMcwdJsG7CfFOpvMTqpR"
"2025-03-26 01:31:31",1742952691572,"sell-my-seats-oyvuc4i2r-rsgenacks-projects.vercel.app/","GET","",500,"rrwh9-1742952691489-819ea7a46816","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36","error","production","","MISS","lambda","/vercel-adapter.js","sell-my-seats-oyvuc4i2r-rsgenacks-projects.vercel.app","sell-my-seats-oyvuc4i2r-rsgenacks-projects.vercel.app","dpl_8nP7cC3ga9E8btqwL8HiCZfDZJsD",203,"iad1",75,1024,"","prj_m5DxOCoSkMcwdJsG7CfFOpvMTqpR"
"2025-03-26 01:30:32",1742952632791,"sell-my-seats-oyvuc4i2r-rsgenacks-projects.vercel.app/favicon.png","GET","",-1,"ztcnp-1742952632523-c6b0c9910350","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36","error","production","","MISS","lambda","/vercel-adapter.js","sell-my-seats-oyvuc4i2r-rsgenacks-projects.vercel.app","sell-my-seats-oyvuc4i2r-rsgenacks-projects.vercel.app","dpl_8nP7cC3ga9E8btqwL8HiCZfDZJsD",-1,"iad1",-1,-1,"🔍 [vercel-adapter.js:1] Execution started
🚀 [vercel-adapter.js:2] Vercel adapter starting...
📁 [vercel-adapter.js:3] Current directory: /var/task
📦 [vercel-adapter.js:4] NODE_ENV: production
📦 [vercel-adapter.js:5] VERCEL_ENV: undefined
📦 [vercel-adapter.js:6] VERCEL_REGION: undefined
Failed to create debugging_logs directory: ReferenceError: Cannot access 'fs' before initialization
    at file:///var/task/vercel-adapter.js:15:3
    at ModuleJob.run (node:internal/modules/esm/module_job:271:25)
    at async onImport.tracePromise.__proto__ (node:internal/modules/esm/loader:578:26)
    at async d (/opt/rust/nodejs.js:16:18048)
🔎 [vercel-adapter.js:20] Loading filesystem module
ReferenceError: require is not defined in ES module scope, you can use import instead
This file is being treated as an ES module because it has a '.js' file extension and '/var/task/package.json' contains ""type"": ""module"". To treat it as a CommonJS script, rename it to use the '.cjs' file extension.
    at file:///var/task/vercel-adapter.js:107:12
    at ModuleJob.run (node:internal/modules/esm/module_job:271:25)
    at async onImport.tracePromise.__proto__ (node:internal/modules/esm/loader:578:26)
    at async d (/opt/rust/nodejs.js:16:18048)
Node.js process exited with exit status: 1. The logs above can help with debugging the issue.","prj_m5DxOCoSkMcwdJsG7CfFOpvMTqpR"
"2025-03-26 01:30:32",1742952632559,"sell-my-seats-oyvuc4i2r-rsgenacks-projects.vercel.app/favicon.png","GET","",500,"ztcnp-1742952632523-c6b0c9910350","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36","error","production","","MISS","lambda","/vercel-adapter.js","sell-my-seats-oyvuc4i2r-rsgenacks-projects.vercel.app","sell-my-seats-oyvuc4i2r-rsgenacks-projects.vercel.app","dpl_8nP7cC3ga9E8btqwL8HiCZfDZJsD",213,"iad1",75,1024,"","prj_m5DxOCoSkMcwdJsG7CfFOpvMTqpR"
"2025-03-26 01:30:30",1742952630412,"sell-my-seats-oyvuc4i2r-rsgenacks-projects.vercel.app/favicon.png","GET","",-1,"vwf4s-1742952630157-d8405144c3b0","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36","error","production","","MISS","lambda","/vercel-adapter.js","sell-my-seats-oyvuc4i2r-rsgenacks-projects.vercel.app","sell-my-seats-oyvuc4i2r-rsgenacks-projects.vercel.app","dpl_8nP7cC3ga9E8btqwL8HiCZfDZJsD",-1,"iad1",-1,-1,"🔍 [vercel-adapter.js:1] Execution started
🚀 [vercel-adapter.js:2] Vercel adapter starting...
📁 [vercel-adapter.js:3] Current directory: /var/task
📦 [vercel-adapter.js:4] NODE_ENV: production
📦 [vercel-adapter.js:5] VERCEL_ENV: undefined
📦 [vercel-adapter.js:6] VERCEL_REGION: undefined
Failed to create debugging_logs directory: ReferenceError: Cannot access 'fs' before initialization
    at file:///var/task/vercel-adapter.js:15:3
    at ModuleJob.run (node:internal/modules/esm/module_job:271:25)
    at async onImport.tracePromise.__proto__ (node:internal/modules/esm/loader:578:26)
    at async d (/opt/rust/nodejs.js:16:18048)
🔎 [vercel-adapter.js:20] Loading filesystem module
ReferenceError: require is not defined in ES module scope, you can use import instead
This file is being treated as an ES module because it has a '.js' file extension and '/var/task/package.json' contains ""type"": ""module"". To treat it as a CommonJS script, rename it to use the '.cjs' file extension.
    at file:///var/task/vercel-adapter.js:107:12
    at ModuleJob.run (node:internal/modules/esm/module_job:271:25)
    at async onImport.tracePromise.__proto__ (node:internal/modules/esm/loader:578:26)
    at async d (/opt/rust/nodejs.js:16:18048)
Node.js process exited with exit status: 1. The logs above can help with debugging the issue.","prj_m5DxOCoSkMcwdJsG7CfFOpvMTqpR"
"2025-03-26 01:30:30",1742952630192,"sell-my-seats-oyvuc4i2r-rsgenacks-projects.vercel.app/favicon.png","GET","",500,"vwf4s-1742952630157-d8405144c3b0","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36","error","production","","MISS","lambda","/vercel-adapter.js","sell-my-seats-oyvuc4i2r-rsgenacks-projects.vercel.app","sell-my-seats-oyvuc4i2r-rsgenacks-projects.vercel.app","dpl_8nP7cC3ga9E8btqwL8HiCZfDZJsD",203,"iad1",75,1024,"","prj_m5DxOCoSkMcwdJsG7CfFOpvMTqpR"
